Player,Player ID,Team,Category,Scope,Current,Milestone,Away
Nathan Church,701675,STL,Home Runs,Season,10,10,0
Carlos Cortes,666126,ATH,Home Runs,Season,10,10,0
Oneil Cruz,665833,PIT,Home Runs,Season,20,20,0
Henry Davis,680779,PIT,Home Runs,Season,10,10,0
Elly De La Cruz,682829,CIN,Home Runs,Season,30,30,0
Jarren Duran,680776,BOS,Home Runs,Season,20,20,0
A.J. Ewing,805999,NYM,Home Runs,Season,10,10,0
Rafael Flores Jr.,804668,PIT,Home Runs,Season,10,10,0
Luis García Jr.,671277,NYY,Home Runs,Season,30,30,0
Mickey Gasper,681508,BOS,Home Runs,Season,10,10,0
Spencer Horwitz,687462,PIT,Home Runs,Season,10,10,0
Brady House,691781,WSH,Home Runs,Season,10,10,0
Luke Keaschall,807712,MIN,Home Runs,Season,10,10,0
Colt Keith,690993,DET,Home Runs,Season,10,10,0
Carson Kelly,608348,CHC,Home Runs,Season,10,10,0
Alejandro Kirk,672386,TOR,Home Runs,Season,10,10,0
Hao-Yu Lee,701678,DET,Home Runs,Season,10,10,0
Jung Hoo Lee,808982,SF,Home Runs,Season,10,10,0
Francisco Lindor,596019,NYM,Home Runs,Season,20,20,0
Nathan Lukes,664770,TOR,Home Runs,Season,10,10,0
Josh Naylor,647304,SEA,Home Runs,Season,10,10,0
Tyler O'Neill,641933,BAL,Home Runs,Season,10,10,0
Shohei Ohtani,660271,LAD,Home Runs,Season,30,30,0
Richie Palacios,680700,TB,Home Runs,Season,10,10,0
Jeremy Peña,665161,HOU,Home Runs,Season,20,20,0
Salvador Perez,521692,KC,Home Runs,Season,20,20,0
Brent Rooker,667670,ATH,Home Runs,Season,10,10,0
Amed Rosario,642708,NYY,Home Runs,Season,10,10,0
Keibert Ruiz,660688,WSH,Home Runs,Season,10,10,0
Javier Sanoja,691594,MIA,Home Runs,Season,10,10,0
Cam Smith,701358,HOU,Home Runs,Season,20,20,0
Will Smith,669257,LAD,Home Runs,Season,10,10,0
Bryson Stott,681082,PHI,Home Runs,Season,10,10,0
Brice Turang,668930,MIL,Home Runs,Season,20,20,0
James Wood,695578,WSH,Home Runs,Season,30,30,0
Jacob Young,696285,WSH,Home Runs,Season,10,10,0
Blaze Alexander,677942,BAL,Stolen Bases,Season,10,10,0
Luis Arraez,650333,PHI,Stolen Bases,Season,10,10,0
Lawrence Butler,671732,ATH,Stolen Bases,Season,10,10,0
Willi Castro,650489,COL,Stolen Bases,Season,10,10,0
Nathan Church,701675,STL,Stolen Bases,Season,10,10,0
Colton Cowser,681297,BAL,Stolen Bases,Season,10,10,0
Pete Crow-Armstrong,691718,CHC,Stolen Bases,Season,40,40,0
Mauricio Dubón,643289,ATL,Stolen Bases,Season,10,10,0
Caleb Durbin,702332,BOS,Stolen Bases,Season,20,20,0
Andrés Giménez,665926,TOR,Stolen Bases,Season,20,20,0
Petey Halpin,690984,CLE,Stolen Bases,Season,10,10,0
David Hamilton,666152,MIL,Stolen Bases,Season,30,30,0
Dustin Harris,687957,SD,Stolen Bases,Season,10,10,0
Gunnar Henderson,683002,BAL,Stolen Bases,Season,10,10,0
Spencer Jones,682987,NYY,Stolen Bases,Season,10,10,0
Steven Kwan,680757,CLE,Stolen Bases,Season,10,10,0
Josh Lowe,666139,LAA,Stolen Bases,Season,10,10,0
Dane Myers,667472,CIN,Stolen Bases,Season,10,10,0
Connor Norby,681393,COL,Stolen Bases,Season,10,10,0
Victor Robles,645302,SEA,Stolen Bases,Season,10,10,0
Brayan Rocchio,677587,CLE,Stolen Bases,Season,20,20,0
Marcus Semien,543760,NYM,Stolen Bases,Season,10,10,0
Masyn Winn,691026,STL,Stolen Bases,Season,10,10,0
Luis Arraez,650333,PHI,Total Bases,Season,250,250,0
José Caballero,676609,NYY,Total Bases,Season,150,150,0
Yainer Diaz,673237,HOU,Total Bases,Season,150,150,0
Gunnar Henderson,683002,BAL,Total Bases,Season,250,250,0
Shea Langeliers,669127,ATH,Total Bases,Season,200,200,0
James Outman,681546,DET,Total Bases,Season,50,50,0
Jose Trevino,624431,CIN,Total Bases,Season,50,50,0
Jorbit Vivas,678391,WSH,Total Bases,Season,100,100,0
Weston Wilson,642215,SEA,Total Bases,Season,50,50,0
Will Benson,666181,CIN,Extra-Base Hits,Career,99,100,1
José Caballero,676609,NYY,Extra-Base Hits,Career,99,100,1
Eric Haase,606992,SF,Extra-Base Hits,Career,99,100,1
Scott Kingery,664068,CHC,Extra-Base Hits,Career,99,100,1
Logan O'Hoppe,681351,TEX,Extra-Base Hits,Career,99,100,1
Jake Rogers,668670,CWS,Extra-Base Hits,Career,99,100,1
Juan Soto,665742,NYM,Extra-Base Hits,Career,499,500,1
Ronald Acuña Jr.,660670,ATL,Extra-Base Hits,Season,39,40,1
Blaze Alexander,677942,BAL,Extra-Base Hits,Season,19,20,1
Nick Allen,669397,HOU,Extra-Base Hits,Season,9,10,1
Adael Amador,691182,COL,Extra-Base Hits,Season,9,10,1
Randy Arozarena,668227,SEA,Extra-Base Hits,Season,59,60,1
Moisés Ballesteros,694208,LAA,Extra-Base Hits,Season,19,20,1
Samuel Basallo,694212,BAL,Extra-Base Hits,Season,29,30,1
Brett Bateman,703520,TOR,Extra-Base Hits,Season,9,10,1
Josh Bell,605137,MIN,Extra-Base Hits,Season,49,50,1
Victor Bericoto,682674,SF,Extra-Base Hits,Season,9,10,1
Juan Brito,682877,CIN,Extra-Base Hits,Season,9,10,1
Michael Busch,683737,CHC,Extra-Base Hits,Season,49,50,1
Alex Call,669743,LAD,Extra-Base Hits,Season,9,10,1
Tyler Callihan,682997,PIT,Extra-Base Hits,Season,9,10,1
Nick Castellanos,592206,SD,Extra-Base Hits,Season,9,10,1
Nathan Church,701675,STL,Extra-Base Hits,Season,29,30,1
Jonah Cox,813841,SF,Extra-Base Hits,Season,9,10,1
Yainer Diaz,673237,HOU,Extra-Base Hits,Season,29,30,1
Caleb Durbin,702332,BOS,Extra-Base Hits,Season,39,40,1
Xavier Edwards,669364,MIA,Extra-Base Hits,Season,29,30,1
Harry Ford,695670,WSH,Extra-Base Hits,Season,9,10,1
Jake Fraley,641584,TB,Extra-Base Hits,Season,9,10,1
Freddie Freeman,518692,LAD,Extra-Base Hits,Season,49,50,1
Tristan Gray,656484,MIN,Extra-Base Hits,Season,9,10,1
Trent Grisham,663757,NYY,Extra-Base Hits,Season,39,40,1
Petey Halpin,690984,CLE,Extra-Base Hits,Season,9,10,1
Max Kepler,596146,AZ,Extra-Base Hits,Season,9,10,1
Wyatt Langford,694671,TEX,Extra-Base Hits,Season,39,40,1
Royce Lewis,668904,MIN,Extra-Base Hits,Season,39,40,1
Joey Loperfido,694388,HOU,Extra-Base Hits,Season,9,10,1
Nathaniel Lowe,663993,CLE,Extra-Base Hits,Season,39,40,1
Michael Massey,686681,KC,Extra-Base Hits,Season,39,40,1
Munetaka Murakami,808959,CWS,Extra-Base Hits,Season,49,50,1
Dane Myers,667472,CIN,Extra-Base Hits,Season,19,20,1
Nasim Nuñez,683083,WSH,Extra-Base Hits,Season,9,10,1
Andy Pages,681624,LAD,Extra-Base Hits,Season,49,50,1
José Ramírez,608070,CLE,Extra-Base Hits,Season,39,40,1
J.T. Realmuto,592663,PHI,Extra-Base Hits,Season,29,30,1
Bryan Reynolds,668804,PIT,Extra-Base Hits,Season,59,60,1
Brayan Rocchio,677587,CLE,Extra-Base Hits,Season,39,40,1
Jake Rogers,668670,CWS,Extra-Base Hits,Season,9,10,1
Esteury Ruiz,665923,MIA,Extra-Base Hits,Season,19,20,1
Adley Rutschman,668939,BOS,Extra-Base Hits,Season,39,40,1
Nolan Schanuel,694384,LAA,Extra-Base Hits,Season,29,30,1
Casey Schmitt,669477,SF,Extra-Base Hits,Season,39,40,1
Jose Siri,642350,LAA,Extra-Base Hits,Season,19,20,1
Will Smith,669257,LAD,Extra-Base Hits,Season,19,20,1
Tyler Soderstrom,691016,ATH,Extra-Base Hits,Season,49,50,1
Jorge Soler,624585,LAA,Extra-Base Hits,Season,29,30,1
