player_id,name,team,stolen_bases,caught_stealing,sb_pct,sb_opportunities
642086,Dominic Smith,ATL,0,0,0.0,0
553869,Elias Díaz,TEX,0,0,0.0,0
606115,Orlando Arcia,MIN,0,1,0.0,0
640902,Jhonny Pereda,SEA,0,0,0.0,0
500743,Miguel Rojas,LAD,0,1,0.0,0
679822,Justin Foscue,TEX,0,0,0.0,0
669289,Santiago Espinal,LAD,0,0,0.0,0
545341,Randal Grichuk,CWS,0,0,0.0,0
693307,Dillon Dingler,DET,0,0,0.0,0
691458,Blaze Jordan,STL,0,0,0.0,0
671218,Heliot Ramos,SF,0,0,0.0,0
670231,John Rave,KC,0,0,0.0,0
678391,Jorbit Vivas,WSH,0,1,0.0,0
695238,Will Wagner,SD,0,0,0.0,0
695490,Edwin Arroyo,CIN,0,1,0.0,0
673548,Seiya Suzuki,CHC,0,0,0.0,0
694384,Nolan Schanuel,LAA,0,1,0.0,0
516782,Starling Marte,KC,0,1,0.0,0
686765,Nick Sogard,BOS,0,0,0.0,0
694212,Samuel Basallo,BAL,0,0,0.0,0
663993,Nathaniel Lowe,CIN,0,0,0.0,0
673237,Yainer Diaz,HOU,0,1,0.0,0
668939,Adley Rutschman,BAL,0,1,0.0,0
691788,Joe Mack,MIA,0,0,0.0,0
663743,Nick Fortes,TB,0,0,0.0,0
682626,Francisco Alvarez,NYM,0,0,0.0,0
682674,Victor Bericoto,SF,0,1,0.0,0
815873,Sean Keys,TOR,0,0,0.0,0
670623,Isaac Paredes,HOU,0,0,0.0,0
678577,Junior Perez,CWS,0,1,0.0,0
682515,Logan Porter,LAA,0,0,0.0,0
644433,Chadwick Tromp,BAL,0,0,0.0,0
669257,Will Smith,LAD,0,0,0.0,0
663698,Joey Bart,ATL,0,0,0.0,0
664040,Brandon Lowe,PIT,0,0,0.0,0
641680,Jonah Heim,ATH,0,0,0.0,0
695731,Braden Montgomery,CWS,0,1,0.0,0
665861,Sebastián Rivero,LAA,0,0,0.0,0
669699,Braden Shewmake,HOU,0,0,0.0,0
681508,Mickey Gasper,BOS,0,1,0.0,0
650968,Yohel Pozo,STL,0,0,0.0,0
592626,Joc Pederson,TEX,0,0,0.0,0
672960,Kazuma Okamoto,TOR,0,0,0.0,0
807747,Rikuu Nishida,CWS,0,0,0.0,0
646240,Rafael Devers,SF,0,0,0.0,0
687221,Dalton Rushing,LAD,0,0,0.0,0
572233,Christian Walker,HOU,0,0,0.0,0
605170,Victor Caratini,MIN,0,0,0.0,0
676724,Jared Young,NYM,0,0,0.0,0
656305,Matt Chapman,SF,0,2,0.0,0
694371,Tommy Troy,AZ,0,0,0.0,0
683227,Cody Freeman,TEX,0,0,0.0,0
687093,Vaughn Grissom,LAA,0,0,0.0,0
681351,Logan O'Hoppe,LAA,0,0,0.0,0
700932,Kyle Manzardo,CLE,0,0,0.0,0
669720,Austin Hays,CWS,0,1,0.0,0
694514,Sterlin Thompson,COL,0,0,0.0,0
664731,P.J. Higgins,CIN,0,0,0.0,0
691019,Kyle Teel,CWS,0,0,0.0,0
694378,Jacob Gonzalez,CWS,0,0,0.0,0
687551,Drew Gilbert,SF,0,3,0.0,0
543309,Kyle Higashioka,TEX,0,0,0.0,0
681481,Kerry Carpenter,DET,0,0,0.0,0
665804,Miguel Amaya,CHC,0,0,0.0,0
676439,Hunter Feduccia,TB,0,0,0.0,0
624585,Jorge Soler,LAA,0,0,0.0,0
596142,Gary Sánchez,MIL,0,0,0.0,0
669899,Ryan Ward,LAD,0,0,0.0,0
663886,Tyler Stephenson,CIN,0,1,0.0,0
670156,Miles Mastrobuoni,SEA,0,0,0.0,0
676572,Eric Wagaman,NYM,0,0,0.0,0
671655,George Valera,CLE,0,0,0.0,0
695020,Tanner Murray,CWS,0,0,0.0,0
668901,Mark Vientos,NYM,0,0,0.0,0
543877,Christian Vázquez,HOU,0,0,0.0,0
620443,Luis Torrens,NYM,0,0,0.0,0
672284,Jarred Kelenic,TEX,0,1,0.0,0
664954,Brett Sullivan,COL,0,0,0.0,0
699013,Esmerlyn Valdez,PIT,0,0,0.0,0
