player_id,name,team,sprint_speed,hp_to_1b,bolts,competitive_runs
683737,Michael Busch,CHC,25.8,4.65,nan,157
673237,Yainer Diaz,HOU,25.8,4.49,nan,101
673962,Josh Jung,TEX,25.8,4.73,nan,159
649966,Luis Urías,TOR,25.8,4.66,nan,18
669134,Luis Campusano,SD,25.8,4.87,nan,40
663728,Cal Raleigh,SEA,25.8,4.69,nan,60
694384,Nolan Schanuel,LAA,25.8,4.59,nan,146
608348,Carson Kelly,CHC,25.8,4.81,nan,107
641857,Ryan McMahon,NYY,25.8,4.61,nan,65
683734,Andrew Vaughn,MIL,25.8,4.77,nan,86
623168,Tyler Heineman,LAA,25.8,4.57,nan,46
689414,Liam Hicks,MIA,25.8,4.65,nan,159
