Team,Batter ID,Player Name,Position,Injury Description,Expected Return,Severity,Status
STL,657265,Peter Strzelecki,P,Right forearm extensor inflammation.,,🟡,Injured 15-Day
TB,810938,Ben Williamson,2B,Right hamstring strain.,,🟡,Injured 10-Day
TB,642121,Cole Sulser,P,Lower back spasms.,,⚪,Injured 15-Day
TB,670955,Edwin Uceta,P,Right shoulder impingement,,⚪,Injured 60-Day
TB,666158,Gavin Lux,LF,Right shoulder impingement,,⚪,Injured 60-Day
TB,643377,Griffin Jax,P,Right elbow discomfort.,,⚪,Injured 15-Day
TB,641584,Jake Fraley,RF,Hernia.,,⚪,Injured 60-Day
TB,669169,Jonathan Heasley,P,Injured 60-Day,,⚪,Injured 60-Day
TB,686752,Ryan Pepiot,P,Right hip inflammation,,🟡,Injured 60-Day
TB,683748,Victor Mesa Jr.,RF,Left hamstring strain.,,🟡,Injured 10-Day
TEX,691945,Carter Baumler,P,Right intercostal strain.,,🟡,Injured 60-Day
TEX,683004,Jack Leiter,P,Right ankle posterior impingement.,,⚪,Injured 60-Day
TEX,656222,Jalen Beeks,P,Injured 60-Day,,⚪,Injured 60-Day
TEX,692030,Jose Corniell,P,Injured 60-Day,,⚪,Injured 60-Day
TEX,673962,Josh Jung,3B,Left calf strain,,🟡,Injured 10-Day
TEX,543309,Kyle Higashioka,C,Injured 10-Day,,⚪,Injured 10-Day
TEX,680737,Michael Helman,CF,Right finger fracture,,🔴,Injured 60-Day
TEX,543135,Nathan Eovaldi,P,Right posterior elbow inflammation,,🟡,Injured 15-Day
TEX,676395,Robert Garcia,P,Injured 60-Day,,⚪,Injured 60-Day
TOR,680718,Addison Barger,RF,Right elbow inflammation.,,🟡,Injured 60-Day
TOR,623993,Anthony Santander,RF,Left shoulder labral tear.,,🔴,Injured 60-Day
TOR,670102,Bowden Francis,P,Right elbow surgery.,,🔴,Injured 60-Day
TOR,664074,Cody Ponce,P,Right knee ACL sprain.,,🟡,Injured 60-Day
TOR,814005,Jake Bloss,P,Injured 60-Day,,⚪,Injured 60-Day
TOR,592791,Jameson Taillon,P,Right forearm tendinits,,⚪,Injured 15-Day
TOR,573009,Joe Mantiply,P,Left knee inflammation.,,🟡,Injured 60-Day
TOR,682729,Jonatan Clase,LF,Left plantar fasciitis.,,⚪,Injured 60-Day
TOR,621244,José Berríos,P,Right elbow stress fracture.,,🔴,Injured 60-Day
TOR,669701,Josh Smith,2B,Left hamstring inflammation,,🟡,Injured 10-Day
TOR,649966,Luis Urías,2B,Right quad strain.,,🟡,Injured 10-Day
TOR,571578,Patrick Corbin,P,Left teres major strain.,,🟡,Injured 60-Day
TOR,669456,Shane Bieber,P,Right teres major inflammation,,🟡,Injured 15-Day
